"names","descr"
"Rioja Reserva 2011 Lagunilla","A classic Reserva wine, striking a balance between meatiness and elegance. 24 months in oak casks has endowed it with an enjoyable smoothness and mellow, spicy aromatics."
"Matsu El Viejo 2015 Toro","The Old One' of the Matsu range, the wine is immensely powerful and complex, offering cigar box, lavender and graphite nuances against a backdrop of dense cherry and bramble fruit."
"Rioja Reserva Seleccin Especial 2012 Muga","The Especial Reserva has a marked wood aged character that balances harmoniously with its rich concentration of red fruit flavours. Perfect with lamb."
"Grand Ardche Chardonnay 2015 Louis Latour","This is a fine example with creamy, buttery and nutty characteristics with a good long finish. Try with roast chicken or turkey."
"Two Hands Charlie's Garden 2015","This is a quintessential Eden Valley Shiraz. Packed with blueberry and blackberry flavours lifted by notes of tobacco, pepper and graphite."
"""The Astronomer"" Chardonnay 2016 De Bortoli","Carefully selected yeast gives this wine a creamy texture with flavours of peach and nectarine and just the slightest hint of vanilla."
"Hey Malbec! 2017 Matias Riccitelli, Mendoza","A classic flavour of ripe blackcurrant with spicy black pepper and violet notes."
"Rioja Reserva 2013 Muga","Muga's Reserva has a lovely bouquet of vanilla and strawberry aromas that follow through elegantly on the palate."
"Ragged Point Sauvignon Blanc 2017","It is becoming harder and harder to find New Zealand Sauvignon Blanc of this quality at this price."
"Haut Poitou Sauvignon Blanc 2016 Pierre Sauvion","A crisp, dry and well structured white reminiscent of the classic Sauvignons of the central Loire valley. Full of incisive citrus fruit character, lifted herbaceous aromatics and cleansing acidity."
"Hospices de Beaujeu 2015","This Gamay has a classic Burgundian character with lots of fruit flavours and woody notes."
"As Caixas Godello 2015 Martn Cdax, Monterrei","A delicate yet multi-faceted nose of lemon, crunchy pear, melon and subtle floral notes marries with a palate of remarkable texture and a lengthy, citrus zest finish."
"Chteau Pierbone 2006, Mdoc","This is an elegant and sophisticated Claret with ripe black fruit flavours and a hint of graphite that is drinking perfectly now."
"Two Hands Max's Garden 2015","Rich and jammy with well integrated tannins and a long finish this is a wonderful Shiraz"
"Graham Beck Brut NV","A nose full of lightly yeasty aromas. The palate offers fresh, gentle lime fruit delivered with a fine mousse, giving the wine  a creamy texture on the finish. Perfect with cheese and canapes."
"Campofiorin 2014 Masi","Dark ruby red with subtle violet tinges. Aromas are predominantly of ripe cherries, with nuances of vanilla and cinnamon. Rich and mouth-filling, with soft tannins and a velvety, savoury finish."
"Pinot Grigio Villa Vito 2016","Clean, fresh and thirst quenching this fab Pinot Grigio has brisk citrus and green apple flavours"
"Grner Veltliner 2016 Weingrten Weissenkirchen, Wachau","Well balanced acidity and citrus fruits leading to a spicy, lively wine, oozing with minerality and elegance. Perfect with gorgonzola."
"Chablis 1er Cru Cte de Lchet 2003 Defaix-Raveneau","Classic, mouth watering acidity makes this a fabulous match to seafood and soft cheese."
"Falanghina 2016 Terredora","As seen on TV. One of Italy's great unsung white wines. A brilliant all-rounder, with plenty of citrussy fruit and faint notes of apple and quince, with the merest hint of nutty complexity."
"Chteauneuf du Pape Prestige De Princes 2015","This will be best with any slow cooked red meat dish flavoured with thyme or rosemary."
"Black Cottage Sauvignon Blanc 2016 Marlborough","Bright, pale yellow, with lime green tinges. Offers aromas of gooseberries with a hint of lychee and a leafy complexity."
"Dr Loosen Slate Hill Riesling 2016"," The finish is refreshingly mineral making this a dangerously quaffable wine. Enjoy this with asian spiced dishes"
"Kangarilla Road Geology Series Shiraz 2014 McLaren Vale","The wine is a powerful and complex mix of mocha, pepper, earth and black fruit characters, bound together by muscular tannin and an enduring minerality."
"Chteau de Tracy 2016 Pouilly-Fum","An open and intense nose, offering notes of blackcurrant and citrus fruit, with background vegetal hints. A fresh citrussy attack on the palate and seductive minerality."
"Bouvet Saumur Ros Brut 200N/200V","This is a light and immediately welcoming sparkling ros, with a raspberry and peach fruit character, a fine mousse and a clean and uplifting floral nose."
"Bienbebido Pulpo Albario 2016 Vintae","As seen on TV. A fresh and vibrant wine with a pleasant balance between citrussy refreshment and easy-going apple and stone-fruit flavours."
"Majestic Loves Shiraz 2016","Our mission was to find the best tasting wines at 5.99. The Shiraz is full of dark fruits and subtle spiciness - perfect for the arrival of BBQ season."
"Chateau Musar Library Vintage 2003","This is a ripe, sexy Musar. It retains its elegant mid-palate as well as lovely fruit and fine balance."
"Ramos Reserva 2015 Vinho Regional Alentejano","A robust ruby red wine, with dense aromas of red berries and pudding spice. Flavours on the palate are bright, thick and jammy, with fine-grained, well integrated tannins and good length."
"L'Etoile de Begude Chardonnay 2016 Limoux","With characteristics to rival fine Burgundies, but at a significantly more palatable price."
"Peter Lehmann Riesling 2015 Eden Valley","Delightful citrus and stone fruit notes abound on the palate and the finish is remarkably taut. A mouth-watering acidity and limestone minerality leave the mouth feeling revitalised."
"Dogajolo Carpineto 2015 Toscana","Sangiovese and Cabernet Sauvignon grapes are vinified separately then allowed to harmonise in oak barrels to produce a soft and intensely fruity wine."
"Oyster Bay Chardonnay 2016 Marlborough","Pure, incisive ripe fruit flavours. Concentrated aromas of ripe citrus and stone fruit are married with subtle oak and a creamy texture to finish."
"Krasno Sauvignon Blanc Ribolla 2016","This fresh and elegant blend leads with delicate aromas and flavours of green apple and white flowers."
"Vialba Malbec-Touriga Nacional Reserve 2015 Mendoza","Heady violet and mulberry aromas fill the nose, and the rich black fruit from both Malbec and Touriga Nacional combine on the palate to dominate and leave a rich, long finish."
"Mountain View Carmenre 2016 Luis Felipe Edwards, Central Valley","Full of soft, ripe blackberry and damson fruit, set apart from the norm by subtle earthy, smoky notes, redolent of toast. Rounded yet firm tannins frame the thick and juicy fruit."
"Red Burgundy Reserve Cte d'Or 2016 Labour-Roi","Light in weight, with a juicy summer-fruit character, where bright flavours of raspberry and strawberry abound. Try with ham."
"Kuhlmann-Platz Pinot Blanc 2016 Cave de Hunawihr","One of the more delicate expressions of Alsatian winemaking, this Pinot Blanc is a restrained and subtle mix of apricot and yellow plum fruit, with a hint of citrus and floral notes"
"Arraigo Benegas Single Vineyard Blend 2012","An enticing Bordeaux style blend of grapes picked from a single vineyard that gives a pure, eloquent picture of the land in its truest from."
"Quinta de Azevedo 2016 Vinho Verde","Complex aromas of white and tropical fruits, citrus and white flowers. A lively wine, with good acidity and well balanced, hints of spritz and bubble, with a concentrated and fresh finish."
"Rioja Reserva Via Ardanza 2008 La Rioja Alta","Complex and perfumed primary and secondary aromas of earth, spice and red fruits with a long, elegantly structured medium weight body of spicy tannins and layers of flavour."
"Mcon Rouge 'Les Roches Rouges' 2015 Louis Jadot","An enticing nose showing subtle hints of redcurrant and raspberry, with a fruity, well-balanced palate and a fresh finish. Try with chicken."
"Zingo Malbec Ros 2017","An explosion of aromas and fruity flavours packed into a funky and attractive packaging. Its transparent bottle shows its wonderful bright pink colour."
"Lirac Vignobles Abeille 2015 Mont Redon","A classic deep and inky purple southern-Rhne blend. On the nose is raspberry and blackberry, with subtle hints of thyme and liquorice yet with a robust palate with weighty tannins and warmth."
"Paso Creek Cabernet Sauvignon 2015 Paso Robles","Dark garnet red with cherry hues. A dense yet supple palate with cocoa-like tannins."
"Invivo Sauvignon Blanc 2017 Awatere Valley, Marlborough","Bold and intensely tropical, with an immense bouquet of guava, passionfruit and lime. Crisp and crunchy on the palate, which is awash with a lingering citrussy zest."
"Mcon-Villages 2015 Domaine Des Marchaudes","Pleasant floral aromas join citrus notes.  The palate has clearly defined citrus fruits with an almost zesty character.  The finish is lengthy with fruit flavours lingering on the palate."
"Saint Clair Estate Selection Pinot Noir 2016 Marlborough","Rich garnet core with a purplish rim. Aromas of ripe black cherries and currants, with a lifted raspberry note and a hint of vanilla. Fine tannins, medium palate weight, and good fruit concentration."
"Touraine Sauvignon 2016 Domaine Joel Delaunay","From a superb small grower in the Touraine region, situated in the middle of the Loire Valley."
"Winemaker Series Swartland red 2016","Made exclusively for Majestic by Marc Kent, the man behind customer favourite The Chocolate Block."
"Chteau Tronquoy-Lalande St Estephe 2013","Soft and harmonious with fully integrated tannins this is drinking wonderfully now."
"Chteau de Berne Ros 2016 Ctes de Provence","An attractive and delicate honeysuckle pink wine with a lifted nose of summer fruits and tropical suggestions of mango. Intense, crisp, well balanced and refreshing on the palate."
"Definition Shiraz 2016","The winery behind our Definition Shiraz has impeccable credentials. They share the same accolade as the countrys most iconic names"
"Barista Pinotage 2017 Western Cape","This is a deliberately modern offering by winemaker Bertus Fourie, who has concentrated on drawing out the coffee-like aromas of South Africa's signature grape. Perfect with beef."
"Saint-Vran 2014 Les Vignerons des Grandes Vignes","This is a lively wine showing delicious aromas of peach and acacia blossom."
"Chteau Pigoudet La Chapelle Ros 2016 Coteaux dAix-en-Provence","Super-light and the colour of bright pink petals, the nose boasts red apples and ripe cherries. Fresh and elegant, this aromatic ros lingers on a beautiful finish. Enjoy with Salade Nioise."
"Definition Provence Ros 2016","When we asked our buyer Charles why hed chosen this wine, he said that when he tried it on a drizzly afternoon in Watford it had transported him straight back to the South of France."
"Matsu El Picaro 2016 Toro"," Aromas are of ripe blackberries and raspberries, with subtle hints of fresh cocoa. The palate is bold yet supple, with ripe tannins and a mineral grip."
"Domaine Martin St Veran 'Les Maillettes' 2015","Domaine Martins Les Maillettes vineyard may only be a tiny 1.6 hectares. However, what it lacks in size, it makes up in character."
"Rustenberg John X Merriman 2015 Stellenbosch","Intense blackberry, blackcurrant, undertones of mint, spice and cigar box on the nose. On the palate are plenty of blackcurrant and cassis, fresh mint, subtle oak and soft tannins. Great with venison."
"Leon Perdigal Ctes du Rhne Ros 2016","A delicate pale pink colour with intense red fruit aromas followed by a full yet fresh with floral and citrus notes."
"Chianti Poggio Galiga 2015 Grati","A nose of cherry-like fruit and subtle floral hints and a dry, harmonious palate combining lipsmacking acidity and fine tannins. At its best enjoyed with platter of mixed antipast or goose."
"Petit Perdigal Rouge 2016","Named after the first cellarmaster of the famous Rhone producer Ogier this has all the classic Rhone flavours of ripe black fruit and notes of herbs and spices"
"Saint Clair Estate Selection Sauvignon Blanc 2016 Marlborough","This mouth-watering Sauvignon has aromas of passionfruit, blackcurrant leaf and gooseberry and a palate of ripe gooseberry and herbs. The crisp acidity is balanced by an enticing minerality."
"Rioja Reserva 2012 Marqus de Riscal Magnum","A classic Rioja Reserva. Full bodied and muscular, yet polished and embellished with complex aromas of vanilla and toasted oak, combined with summer fruit flavours. Will age for a further 5+ years."
"Vir-Cless Vieilles Vignes 2016 Christophe Cordier","Elegant yet opulent, this wine combines fresh fruit on the palate with a minerally core, with added dimension provide by a slight toastiness."
"Ladoix Rouge 1er Cru 'Les Corves' 2013 Domaine Chevalier","A lifted, ripe nose of summer fruits and red berries give way to a luscious, luxurious palate of ripe red fruits, brooding black fruits and spice enveloped by firm tannins."
"Wakefield Estate Chardonnay 2016 Clare Valley","White peach, nectarine and citrus fruits leap out of the glass, preceding a ripe, palate of peach, pineapple and a subtle cinnamon note. The texture is creamy with good acidity. Try with goose."
"Grato Grati Rosso di Toscana 1991","It is rare to find aged Sangiovese so snap this up while you can!"
"Russian Jack Pinot Noir 2014 Martinborough Vineyards","A finely balanced Pinot offering ripe red berry fruit underpinned by a fresh crunchiness and savoury notes."
"Le Volte dell' Ornellaia 2015","This wine is rich with intense blackfruit and spicy notes. The glossy tannins give a velvety texture with a lively, crisp acidity giving the wine impressive balance."
"Errazuriz Sauvignon Blanc 2016 Casablanca Valley","As seen on TV. This wine is a classic example of a clean modern cool climate Sauvignon Blanc. It displays aromas of gooseberries and guava on the nose and is dry yet fruity on the palate."
"Luis Felipe Edwards Signature Series Viognier Reserva 2017 Rapel Valley","Light and fresh, yet intensely aromatic. Flavours of peach, apricot and ripe pears cascade across the palate, finishing with a refreshing acidic lift and gentle mineral grip."
"Errazuriz Estate Series Merlot 2016 Valle de Curic","The fruit for this wine was sourced from a range of sites across the Aconcagua Valley, where the Mediterranean climate and cold nights encourage good fruit purity."
"Errazuriz Estate Series Chardonnay 2016 Casablanca Valley","Good aromatic intensity with fresh pineapple, mandarin orange, and papaya, along with stewed pears, and toasted notes that add complexity to the wine."
"Rioja Gran Reserva 2008 Lagunilla","A fine and elegant bouquet, full of trademark aged Rioja aromas: raisins, dried figs, cinnamon and vanilla. Velvety on the palate, with a long, smooth finish. Lovely with roast lamb."
"Governo Toscana IGT","This traditional method of production produces a velvety weight that adds a depth and complexity you'd expect from a wine that cost triple the price."
"Mud House Pinot Noir 2015 Central Otago","An intense and powerful Pinot, full of bright red cherry and darker bramble fruit, layered with gentle notes of mocha and spice. Finely balanced tannin and acidity provide greap grip and length."
"Casal de Ventozela 2016 Vinho Verde","Crisp and dry, with delicate flavours of soft citrus fruit, melon and green apple, and aromatic hints of blossom and white pepper."
"The Ned Pinot Noir 2016 Southern Valleys, Marlborough","With a subtle smoky character and rounded red berry fruit aromas, on the palate this wine is warming and rich, encompassing every corner of the mouth and leaving a long and smooth finish."
"Domaine Chatelain Chablis 2015","It is well balanced with a refreshing finish."
"Kuhlmann-Platz Riesling 2016 Cave de Hunawihr","A pale straw yellow, this wine is a classic Alsace Riesling, showing ripe pear and peach fruit, braced by a steely acidity."
"Bourgogne Chardonnay 'Les Chenaudires' 2016 Cave de Lugny","Crisp and elegant with citrus and apple fruit characters alongside a lovely streak of minerality. Ideally partnered with light seafood dishes, whole salmon or chicken."
"Santa Rita 120 Cabernet Franc 2016 Central Valley","A medium-bodied, ruby red wine, offering aromas of ripe red berries, wild herbs and tomato leaf. The palate delivers ripe cherry and raspberry fruit, with both fresh acidity and rounded tannin."
"Bellingham 'The Bernard Series' Viognier 2016 Western Cape","Peaches, lychees, rose petal and spice are complemented by rich layers of fruit with spicy undertones of white pepper and cinnamon. Enjoy with creamy seafood and poultry dishes."
"Santa Rita 120 Viognier 2016 Central Valley","Lively and crisp, avoiding the big, oily texture of many a Viognier, and focusing instead on the flavours of apricot and pineapple, and delicate floral aromas."
"Gabb Family Chardonnay 2017","Flavours of Vanilla and butterscotch balanced by a fresh citrus finish."
"Pouilly-Fuisse Domaine Dutron","Puilly Fuisse is a classic white Burgundy with tropical scents and intense, rich flavours of ripe peach and citrus."
"Lay & Wheeler Brunello di Montalcino 2011","It is bursting with flavourrs of ripe cherry, cassis, spice, leather and herbs."
"Flowers Camp Ridge Pinot Noir 2013","Textured by fine-grained, whole-cluster tannins, the mouthfeel carries verve, precision and structure from the cool-climate, coastal acidity."
"Flowers Sonoma Coast Pinot Noir 2016","90% estate-grown grapes are hand-picked and sorted, de-stemmed and wild-fermented in traditional small open-top vats. Finish comes from 11 months in new and old French oak."
"Reserve Lafite Monteil 2015 Bordeaux Superieur","Reputed to be one of the most beautiful properties in Bordeaux they produce a wine to match."
"Majestic Loves Rose 2016","Crisp and thirst quenching with exuberant red berry flavours that are best enjoyed ice cold."
"Miraval Ros 2016 Ctes de Provence","A beautifully pale pink colour, with a nose of wild strawberry and stone fruit, with delicate floral touches."
"Pouilly Fum Grebet 2015 Les Chants de Cri","Pouilly-Fume with it classic flavours of green apple and smoky notes should be snapped up while it can"
"Saintsbury Chardonnay 2012 Carneros","Notes of pears, apricots and melon with toasted spicy oak characters are complemented on the palate by stone fruit, vanilla and hazelnuts. Full bodied and creamy, with a balanced and powerful finish."
"Finca Constancia 'Entre Lunas' Tempranillo","Their full bodied Tempranillo has intense, juicy red cherry flavours and soft vanilla notes and is silky smooth."
"Minuty Cuve Prestige 2016 Ctes de Provence","This ros is quintessential of the local style, offering a clean nose of citrus fruit, offset by subtle floral and candied notes. Fresh acidity makes for an incisive and lively palate."
"Trebuchet Chardonnay 2016 Western Cape","Gently crisp on the palate, providing plenty of refreshment."
"Paraduxx 2014 Duckhorn, Napa Valley","On the palate, this wine is rich and mouthcoating with abundant blackberry jam, bramble and holiday spice flavours. The finish is long and lingering."
"Royal Tokaji Gold Label 2013","Medium amber in colour with an intense and complex nose of marmalade and spices. Sweet and rich on the palate with a fine cleansing acididty. Great length and a superb, lingering finish."
"Fattori Soave 2016","The bouquet is enhanced by subtle hints of sage and nettle, while the palate is fresh, crisp and gently mineral textured. Perfect with pork."
"Bourgogne Pinot Noir 'Les Pierres Rouges' 2014 Louis Jadot","Displaying subtle hints of red fruit and violets on the nose, with a well rounded palate of cherry and raspberry fruit with a rounded texture. Gently tannic and with good length."
"Crozes-Hermitage 2014 Cave de Tain LHermitage"," This wine offers seductive plum-rich fruit with a twist of smoky spice on the finish. Delicious with roast meats, game and casseroles."
"Catena Barrel Fermented Chardonnay 2016 Mendoza","Showing notes of mango, banana and apple, with a hint of sweet spice and wet stone minerality. Full yet clean on the palate, with pear and fig fruit flavours rounded off with fresh, crisp acidity."
"Vinalba Malbec Bonarda 2016","Vinalba are one of our and our customer's favourite Argentinean wineries,and rich balance between Malbec and Bonarda with fresh cherry flavours and floral notes"
"Barolo Araldica 2012","This lovely ruby coloured wine exhibits aromas of plums, leather and violets.  The palate is rich with red fruits, spice and a hint of smoke.  The finish is long and complex."
"Marchesi Antinori Chianti Classico 2014 Tenuta Tignanello","It is an intensely flavoured Chianti with ripe red cherry flavours in abundance and notes of leather, tobacco and spice."
"Langhe Nebbiolo 2016 De Forville","This complexity is carried onto the palate with racy acidity and oak bringing freshness and structure whilst the soft tannins makes this wine a viable option to open now."
"Bourgogne Chardonnay Domaine Jomain 2016","This wine has the character and style of a Puligny-Montrachet but at a fraction of the price. If you like your wines toasty and full of intense flavour you will love this!"
"Pierre Usseglio CDR","Using some grapes sourced from CNDP this is a beautifully plush wine with rich red fruit flavours and herbal notes."
"Pietrariccia Fiano 2016 Surani","The nose offers an inviting mixture of citrus and tropical fruit with floral hints. Crisp acidity makes for a refreshing, satisfying feel. Try with glazed pork."
"Nettie Viognier 2016 ","Intense and inviting aromas of peach and apricot introduce a palate of more lush stone fruit flavours."
"Beaujolais Lantigni 2016 Louis Jadot","This is a bright, vibrant Gamay with moderate acidity and soft tannins, cherry and raspberry flavours and a pleasant finish."
"Esprit de Pennautier 2014 Cabardes","Full-bodied and rich, with firm yet approachable tannins and mellow, toasty wood influence."
"Boschendal Lanoy Sauvignon Blanc 2016 Coastal Region","Cool fermented in stainless steel tanks to preserve the delicate fruit flavours, this Sauvignon shows tropical fruit, citrus and herbs on the nose, crisp acidity and a clean, lingering finish"
"Decoy Zinfandel 2015 Duckhorn, Sonoma County","A generous and straightforward wine, with a defined nose of blueberry, cherry and loganberry fruit, accented by soft vanilla oak. The palate is more robust, with the lush fruit framed by firm tannins."
"Matsu El Recio 2014 Toro","Intense and opaque, this wine is a mass of deep black fruit, chocolate, roasted coffee bean and vanilla pod aromas. Voluptuous and weighty, with a firm structure, held together by silky tannins."
"Rioja Rosado 2016 Muga","The Muga Ros is a deep salmon colour, with intensely fresh, strawberry, raspberry and orange peel aromas. The domination of the Garnacha grape provides plenty of warm, spicy fruit with crisp acidity."
"Chateau Cotes De Blaignan 2014 Medoc","This smooth and fruity red is full of red plum and blackberry flavours with some vanilla notes on the finish and  elegant rounded tannins."
"La Baume La Grande Olivette, Chenin Blanc Vdf","Off-dry but balanced by lively, refreshing acidity and packed with mouth watering flavours of pear, honey and crisp apple"
"Cte de Beaune-Villages 2014 Louis Jadot","An elegant and sophisticated wine, combining a firm acidic structure with a good weight of forest fruit flavours on the mid-palate."
"Vinhos do Silvado Branco 2016","This is easy drinking and approachable with flavours of crisp apple and pear."
"Lyrarakis 'voila' Assyrtiko 2017","Bone dry and extremely fresh previous vintages of this wine have won numerous gold medals"
"Pizarras de Otero Ros 2016 Bierzo","A vivid, deeply coloured ros, with an intense raspberry and redcurrant character and leafy undertones."
"Montagny Vieilles Vignes 2014 Buxy","This Montagny offers ripe lemon aromas, accompanied by subtle hints of white blossom. More refreshing citrus flavours on the palate, and an elegant, steely dry finish. Pair with whole salmon."
"Vavasour Sauvignon Blanc 2016 Awatere Valley","An expressive nose of tropical fruit, melon and citrus, with mineral notes on the palate. Crisp and dry, this refreshing wine exhibits all the hallmarks of great Marlborough Sauvignon Blanc."
"Copertino 2013 Masseria Monaci","A thick, luscious wine with dark, plummy fruits and hints of almonds and spice box."
"Planeta 2016 Cometa","Made with 100% Fiano on the southern slopes of Sicily it displays an intense nose, with strident tangerine, peach and thyme notes. The palate is well structured with broad, creamy characters."
"MCC Chilean Chardonnay 2017","Fresh and clean, with the typical apple and citrus fruit giving way to a softer, peachier, almost tropical flavour."
"Chteau Guiot 2016 Costires de Nmes","Deep purple hue, a beautifully scented nose with herby aromas, lashings of juicy forest fruits and spicy, rich berry flavours on the palate and a good, smooth finish. Perfect with beef shepherds pie."
"Russian Jack Pinot Gris 2016, Marlborough","From a multi-awarding winning and customer favourite winery the Russian Jack Pinot Gris is packed with flavours of pear, quince and ripe red apple. "
"Clos du Bois Chardonnay 2015 North Coast","A richly fruity Chardonnay, full of ripe pear, apple blossom and lemon notes, complemented by subtle oak toast and a creamy texture from oak ageing around one-third of the blend."
"Lirac 2016 Domaine des Garrigues","Made without oak, this wine is vibrant and youthful in both colour and aroma, with great freshness to the dense red fruit. Ample tannins provide a long, blackcurrant and liquorice-tinged finish."
"Cuve Sainte Genevive Rouge nv Vin de France","Supple and inviting, this wine blends the soft and jammy raspberry fruit of ripe Grenache with the firming influences of Carignan's blackberry flavours and robust tannin."
"Faustino 1 Gran Reserva 2005 Rioja","The nose is very complex with red berries, cinnamon, clove and oak notes.  The palate has a beautiful balance of tannin and acidity with lingering notes of berry fruit and spice on the finish."
"Carlino Rosso 2016","This soft and fruity red from Italy offers exceptional value for money"
"Peter & Ulrich Dry Riesling 2015/2016","This wine is crisp and elegant with notes of ripe apple, peach and apricot."
"Marquis de Pennautier Viognier 2016 PGI Pays d'Oc","Honeysuckle, fresh apricots and even a hint of sherbet. Crisp and fresh, with flavours following aromas of the nose and a well balanced lingering finish. An excellent apritif."
"Sassaiolo Rosso Piceno 2013 Monte Schiavo","This traditional Italian red has a bold ruby red colour, pleasant brambly fruits on the nose and a long, balanced palate with sweet, ripe tannins."
"Santa Rita 120 Merlot 2017 Central Valley","Intense aromas of red fruits, accompanied by floral, vanilla and tobacco notes. Has a great feeling of volume in the mouth, with plentiful but super-soft tannins."
"Morande M Chardonnay 2016","This fine, fresh Chardonnay is all about fruit with an abundance of citrus, pear, apple & pineapple flavours."
"Aresti Bellavista Sauvignon Gris 2016","This Sauvignon Gris from the cool Maule Valley is bursting with cool citrus aromas, mouth-watering acidity and vibrant lime flavours."
"Reino de San Adrian Rioja Gran Reserva 2008","The 2008 Rioja vintage was rated outstanding by Wine Advocate and this is an unrestrained medley of rich blueberry fruit, liquorice and smokey vanilla."
"Peter Lehman Hill & Valley Shiraz 2015","It is soft and rounded with a silky chocolate flavoured finish."
"Catena Cabernet Sauvignon 2015 Mendoza","Full bodied, with rich, dark, supremely concentrated cassis-scented black fruit and a warm, spicy finish. Excellent with steaks, roast beef or, if you are feeling adventurous, haggis."
"Primitivo 2016 Natale Verga","An approachable, medium-bodied wine full of sunny red berry flavour and subtle hints of prune and violet on the nose. Smooth, drying tannins mingle with the  rounded, juicy fruit."
"Tourrela Bordeaux 2014","This is a classic Bordeaux blend of Cabernet Sauvignon, Merlot and Cabernet Franc. Elegant, well balanced and soft with flavours of ripe plums, blackberries and sweet spices. "
"Lime Rock 'Kota' Pinot Noir 2015 Hawke's Bay","Forest floor and tea leaf characters give undertones to plum, cherry, blackberry fruit and wild thyme notes. A balance of fruit-sweetness, mellow acidity and ripe, silky tannins linger in the mouth."
"Quartz Reef Pinot Noir 2015 Central Otago","Vibrant fruit and bright acidity wash over a rounded palate of richness and spice, subtle oak and tannin. Seductive and succulent. Best enjoyed with venison, duck breast or lamb."
"Bellingham Pinopasso Pinotage 2015 Coastal Region","Dark, fleshy and muscular, this wine offers the smoky and sinuous black cherry profile of classic Pinotage."
"Ammazza Pinot Grigio IGT","Made in Verona this is a classic Pinot Grigio with delicate citrus and apple aromas and vibrant acidity."
"Morand one to one Gewurztraminer 2017","As seen on TV. This will be a delight with spicy Asian dishes"
"Domaine de Villemajou 2015 Corbires Boutenac, Grard Bertrand","Rich and complex, with jammy blackcurrant fruit and hints of roasted coffee bean, leather and soft spice notes. Round and soft on the palate, with supple, well-weighted tannins. Good with"
"Jackson Estate Vintage Widow Pinot Noir 2014 Marlborough","Ripe berries, spices, and earthy aromas with well integrated oak, concentrated and textured on the palate with lots of luscious fruit. A whisper of smoke leads to a satisfying finish."
"Rey Noble Garnacha","A delicious marriage of raspberry and ripe cherry aroma and pure fruit, mineral and earthy flavours"
"Orvieto Classico Secco Vigneto Mortaro 2016 Barberani","Attractive pale colour with green lights and a fresh, fruity nose. Clean and full of citrussy fruity, with a nice nuttiness on the palate and a very crisp finish."
"Rioja Gran Reserva 2007 Marqus de Riscal","Made only in outstanding vintages this wine is aged to perfection prior to release. Complex aromas of fresh red berries and developed aromas of leather, earth and and fermented tobacco leaf."
"Luis Felipe Edwards Signature Series Syrah Reserva 2016 Central Valley","Deep purple-tinged ruby red, and showing intense aromas of blackcurrant, with hints of black pepper and spice. A juicy, fresh palate with taut yet forgiving tannins, and a soft finish."
"Domaine de Fabrgues 2014 AOP Languedoc","This is a rich and spicy wine in the classic Languedoc style, with an intense, jammy blackberry and morello cherry backbone."
"Chateau Tour Haut Caussan","Flavours of ripe red plums and balckcurrant are wrapped in an elegant tannic structure with a fine spicy finish."
"Pouilly-Fuiss 2016 Domaine Cordier","Very forward with ripe tropical peach and a rich (but not over-powering) use of toasty oak make this a wonderfully full style of Fuiss. Length on the finish is long and harmonious."
"Escarpment Pinot Noir 2015 Martinborough","A perfumed, delicate Pinot Noir, with elegantly textured tannins and soft and supple fruit. Escarpment's style is one of 'the perfect mix of black, red and green fruit flavours'."
"Schild Estate Cabernet Sauvignon","This Barossa Valley is a beautiful deep garnet on the eye, offering a warm invitation to enjoy a sip"
"Oyster Bay Brut NV","Crisp acidity and delicate minerality provide a complex and enduring mouthfeel."
"Saint Clair Reserve Sauvignon Blanc 2016 Marlborough","Displaying subtle fragrances of honeysuckle, powerful passion fruit and goosebery flavours on the nose, which develop into blackcurrant leaf, lime and ripe nettles on the palate."
"Rioja Blanco 2016 Muga","As seen on TV.Vibrant fruits give way to zesty lime, spicy and vanillin toasted oak flavours, fresh acidity, and a refreshing spicy finish. Perfect with Turkey."
"Bourgogne Pinot Noir 2015 Nicolas Potel","From grapes sourced across the Burgundy region, primarily from old Cote d'Or vines. Maison Nicolas Potel is a respected name in Burgundy. Perfect with chicken and tangy cheeses."
"Oyster Bay Merlot 2015 Hawke's Bay","Plumy, jammy and ripe berry fruits augmented by hints of spice, toasted oak and chocolate aromas are followed by a rich, rounded and fruity palate with subtle oak and spices and an intense finish."
"Soave 'La Rocca' 2014 Pieropan","A fresh nose with citrus aromas, peach, and hints of exotic fruits. The palate offers ripe stone-fruit flavours, melon and hints of honey, blended with the freshness of grapefruits and limes."
"M de Minuty Magnum Ros 2016 Ctes de Provence","Pale honeysuckle pink, and offering a clean nose of citrus fruit, offset by subtle floral and candied notes. Fresh acidity makes for an incisive and lively palate, with a rounded feel."
"Miraval Ros 2016 Ctes de Provence Magnum","A beautifully pale pink colour, with a nose of wild strawberry and stone fruit, with delicate floral touches. Great palate complexity, with herb, citrus notes joining layers of berry fruit."
"Tasca ""Regaleali"" Bianco Di Sicilia 2016","As seen on TV. Delicate but not bland, fruit flavours of apple, peach and pink grapefruit are to the fore of the crisp and refreshing wine."
"Grand Hron Marc Ducournau 2016 PGI Ctes de Gascogne","A fruity nose with cut grass aromas, ripe grapefruit on the crisp palate and a fresh finish. An invigorating apritif, or drink it with a light prawn salad."
"La Rencontre","A wine with ripe flavours of red fruits with hints of eucalyptus and liquorice."
"Bosman Adama Red Fairtrade 2016 Wellington","Raspberry and prune predominate on the nose with hints of white pepper.The palate has rich plum and dark cherry with a long lingering sweetly spicy finish."
